conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1754209812387360994,Sun Feb 04 18:26:25 +0000 2024,4418,Setelah Lama Menimbang KAMI Lintas Provinsi Menjatuhkan Pilihan untuk AMIN https://t.co/jaSUuVUaxc,1754209812387360994,,,in,Indonesia,8,23,982,https://x.com/geloraco/status/1754209812387360994,3319260420,geloraco
1754245986854293752,Sun Feb 04 20:50:10 +0000 2024,952,テテが悩んでる時にジミンに相談して助けてもらい、テテ1人の撮影現場には必ず側で見守り、MCに抜擢された時はアドバイスしたり、テテの些細な成功も自分の事のように喜ぶジミン、その逆も同様。テテへの眼差しがとても優しくて愛を感じる ジミンは天使のような心を持ったひと。 ⃛D-492 #지민 https://t.co/74Xjo8tLAZ,1754245986854293752,https://pbs.twimg.com/ext_tw_video_thumb/1754245814011277312/pu/img/fytIKezT1Ui5fodr.jpg,,ja,🇰🇷……2013,2,4,55,https://x.com/rc_1013_jm/status/1754245986854293752,1971039812,rc_1013_jm
1753951548500303970,Sun Feb 04 01:20:10 +0000 2024,649,これはお互いのお母さんの言葉でどっちがINIの甘党担当か決着を付けようとするキム牧 https://t.co/DlDOI2s7KO,1753951548500303970,https://pbs.twimg.com/ext_tw_video_thumb/1753951492825059328/pu/img/4QMHyucQCFJaImjX.jpg,,ja,,2,0,34,https://x.com/mugi_ini/status/1753951548500303970,1349306181345443840,mugi_ini
1754292223179727075,Sun Feb 04 23:53:53 +0000 2024,228,-en 우리 ENGINA 정말 멋지네요. 아프지 않도록 아침 식사도 잊지 마세요,1754292223179727075,,,ko,Rules 👉🏻,6,24,43,https://x.com/enginafess/status/1754292223179727075,1484939905268854784,enginafess
1754096276432674966,Sun Feb 04 10:55:16 +0000 2024,391,こんばんは 出掛けた帰りに 掛川城の横を通ったので 車の中からﾊﾟｼｬﾘ 今日もお疲れ様でした️ ゆったりまったりな夜を お過ごしください𓂃.◌𓈒𓏲𓆸⋆* https://t.co/CNGuKN0pn3,1754096276432674966,https://pbs.twimg.com/media/GFfNQ7lbgAAmZvt.jpg,,ja,日本 静岡県,0,3,69,https://x.com/020304Nina/status/1754096276432674966,1393957260485795845,020304Nina
1754077967297475027,Sun Feb 04 09:42:31 +0000 2024,284,𝟐𝟎𝟐𝟑 𝑲𝑶𝑵𝑰 𝑯𝑨𝑷𝑷𝒀𝑱𝑰𝑵𝑫𝑨𝒀 𝑬𝒙𝒉𝒊𝒃𝒊𝒕𝒊𝒐𝒏 𝐢𝐧 𝐉𝐀𝐏𝐀𝐍︎名古屋︎ ジンペンと一緒に 念願のジンくんの等身大パネルを当てました 栄の街中を一緒に帰りました そして、ジンペンのお友達の元へ ありがとうございました @btsforever1207 님 @JpKoni 様 https://t.co/wg6bTkB1r9,1754077967297475027,https://pbs.twimg.com/media/GFe8nPXa4AApVf3.jpg,,ja,,3,5,33,https://x.com/ami64295277/status/1754077967297475027,1239392524579430402,ami64295277
1754095631571066889,Sun Feb 04 10:52:42 +0000 2024,295,ตอนที่พี่ม้าคบอกอินจุนให้ออกกำลังกายน้อยลง คืออินจุนมะได้ตัวใหย่เลยนะ เล้กเท่านิ แต่พี่ม้าคบอกอินจุนตัวใหย่แระ คือในสายตาม้าคอินจุนตัวเท่านิ จิง https://t.co/19TgexHE3r,1754095631571066889,https://pbs.twimg.com/media/GFfMrd2bgAAJEUn.jpg,,th,7드림 ♡ 런친 🐈,0,0,1002,https://x.com/yellowmooren/status/1754095631571066889,1197413877278900224,yellowmooren
1754002232268427589,Sun Feb 04 04:41:34 +0000 2024,1132,Mengingat AMIN adalah paslon dengan background yg paling paham isu pendidikan tinggi sebenarnya berharap program utama untuk dosen lebih mengena lagi. Tapi kalau dari 5 ini sabbatical leave oke banget sih. Perlu dan mudah ditagih ,1754002232268427589,,,in,"Yogyakarta, Indonesia",9,10,587,https://x.com/nabiylarisfa/status/1754002232268427589,37574084,nabiylarisfa
1754081001851220411,Sun Feb 04 09:54:34 +0000 2024,1047,日頃よりエンミックスの肩担当をしているが、 みんなが肩を出す時はしまう女 ペ・ジンソル https://t.co/1hYsy6lGEW,1754081001851220411,https://pbs.twimg.com/media/GFe_Xo3bMAA-gpy.jpg,,ja,,1,0,15,https://x.com/like_oo_/status/1754081001851220411,1497276550437552128,like_oo_
1753985400786555227,Sun Feb 04 03:34:41 +0000 2024,1940,รูปนี้ไม่ว่าจะมาจากกล้องคนไหน กล้องอะไร พอมันเป็นรูปออกมาดูแล้วมีความสุขนะ ขนาดอยู่4คน ถ้าได้มี7คน ครบเฟรมลงตัวมาก https://t.co/jaaxnvtIcG,1753985400786555227,https://pbs.twimg.com/media/GFdoatVbEAA68A2.jpg,,th,♡ ᴅᴇғᴊᴀʏʙ,4,0,1681,https://x.com/defimkim/status/1753985400786555227,270711771,defimkim
