full_text, Ai_senti
capres karbitan langgar ham tua gagal sbh menhan cawapres karbitan anak haram kosntutusi rakyat bodoh 400 t makan siang 1x amp susu 1x lu juta anak amp hamil dana ambil bansos didik amp sehat program bodoh rakyat dibodohin rakyat, negatif
dunia kau anis, negatif
gemas, negatif
perkara mereview padu oatside kali matcha, laen
janji makan susu gratis rakyat bodoh janji realistis 400 t seth naik pajak tambah butang berat rakyat makan susu 1x kenyang amp kotor tahi entas miskin program lu korupsi besar2 an bansos blt dsb lu rakyat miskin, negatif
tolong anak jumpa anis nih anak main pakai pakai anak borak i rindu her sok badd wehh istg sumpah anak menang rindu,  laen
hasil mancing anis bikin fekcet, positif
babila housemate takde common sense nih orang anak kerja kau sibuk mandi dahtu kau anak mandi cuci celah cipap kau aishh geram sungguh, laen
buka twitter enggak ada taehyun tutup lamun pikir halusinasi tidur buka twitter enggak ada taehyun tutup pikir zombie zombie, laen
ok some of bloggers bantu deh malas anak blog cerita soal cabut gigi geraham bedah perghjagalah gigi gigi nih mahal kosnya, laen
uang gue anis beli es, negatif
jelang pilpres pesantren kampung rame pasar sibuk prabowo nyapres isu ham buka anis rame isu politik identitas ganjar korupsi ektp saksi pilpres selesai isu ham ektp politik identitas langsung diam, negatif
video cerita op asli enggak ada storynya daichi doang lucu banget senang ya habis traktir, laen
average fakultas ekologi manusialt3 suka banget lingkung kuliah orang banget yaaaaa supportive positive vibes hikss i rindu punya universitas hidup, laen
lihat kak anis kakak agis gemas banget yaampunnn mentor indayskuuu, negatif
assalamualaikum prabowo anis baswedan, positif
ketemu om lembong kaget obrol pintas blio brada armada om anis baswedan bo honest om lembong of baik financial mentor from 27th bankers indonesia who i admired most selamat tugas om awet sehat djaya amp sakses yhaw, positif
anis mrnang putar, positif
nih deh habis diam dah perangai housemate pon takde common sense asyik pikir lepas, negatif
nasehat poro sepuh seng wes sono syukurono seng durung teko entenono seng wes lungo lalekno seng wes hilang ikhlasno ning khima anis, negatif
calon presiden capres nomor urut 3 ganjar pranowo tawar kontrak 2 ipb universitas jalan revolusi agromaritim upaya wujud daulat pangan indonesia sampai peristiwa dialog capres acara food agriculture, positif
