conversation_id_str,full_text,lang,location,Stemming,Paslon,InSet_Score,Sentistrength_Score,Combined_Score
1737447940040651075,CAPRES KARBITAN LANGGAR HAM UDH TUA GAGAL SBH MENHAN CAWAPRES KARBITAN ANAK HARAM KOSNTUTUSI RAKYAT JGN MAU DIBODOHI 400 T MAKAN SIANG 1X &amp; SUSU 1X U BEBERAPA JT ANAK &amp; IBU HAMIL DANANYA AMBIL DR BANSOS PENDIDIKAN &amp; KESEHATAN INI PROGRAM TOLOL RAKYAT DIBODOHIN RAKYAT https://t.co/fNWVHaf7Ut,in,Indonesia,"['capres', 'karbitan', 'langgar', 'ham', 'udh', 'tua', 'gagal', 'sbh', 'menhan', 'cawapres', 'karbitan', 'anak', 'haram', 'kosntutusi', 'rakyat', 'jgn', 'mau', 'bodoh', 't', 'makan', 'siang', 'x', 'amp', 'susu', 'x', 'u', 'beberapa', 'jt', 'anak', 'amp', 'ibu', 'hamil', 'dana', 'ambil', 'dr', 'bansos', 'didik', 'amp', 'sehat', 'program', 'tolol', 'rakyat', 'dibodohin', 'rakyat']",Anies,-21.0,-2.0,-23.0
1737467088628031893,dunia kau apa anis https://t.co/Ca4iKVSsq0,in,kuala lumpur,"['dunia', 'kau', 'apa', 'anis']",Anies,-2.0,0.0,-2.0
1737449639903895669,TERLALU GEMAS https://t.co/aw17yMq9HT,in,SWORD-chiku,"['terlalu', 'gemas']",Anies,1.0,0.0,1.0
1737453298465312907,perkara mereview perpaduan oatside x matcha https://t.co/0aHFDJoN78,in,no minor ,"['perkara', 'mereview', 'padu', 'oatside', 'x', 'matcha']",Anies,-4.0,-1.0,-5.0
1737447940040651075,JANJI MAKAN SUSU GRATIS RAKYAT DIBODOHI DGN JANJI GA REALISTIS 400 T SETH NAIKKAN PAJAK / NAMBAH BUTANG LN? MEMBERATKAN RAKYAT MAKAN SUSU 1X GA KENYANG &amp; JD KOTORAN (TAI) GA ENTASKAN KEMISKINAN PROGRAM U KORUPSI BESAR2 AN SJ KAN SDH ADA BANSOS BLT DLL U RAKYAT MISKIN https://t.co/mU27VcqjhA,in,Indonesia,"['janji', 'makan', 'susu', 'gratis', 'rakyat', 'bodoh', 'dgn', 'janji', 'ga', 'realistis', 't', 'seth', 'naik', 'pajak', 'nambah', 'butang', 'ln', 'berat', 'rakyat', 'makan', 'susu', 'x', 'ga', 'kenyang', 'amp', 'jd', 'kotor', 'tai', 'ga', 'entas', 'miskin', 'program', 'u', 'korupsi', 'besar', 'an', 'sj', 'kan', 'sdh', 'bansos', 'blt', 'u', 'rakyat', 'miskin']",Anies,-22.0,-3.0,-25.0
1737421691138306131,please la bila nak jumpa anis ni nak main make up make up sesama nak borak panjang panjang i miss her so badd wehh istg sumpah nak nangisss aku rindu diaa️️ https://t.co/S0CmvdRTSw,in,,"['please', 'la', 'bila', 'nak', 'jumpa', 'anis', 'ni', 'nak', 'main', 'make', 'up', 'make', 'up', 'sama', 'nak', 'borak', 'panjang', 'panjang', 'i', 'miss', 'her', 'so', 'badd', 'wehh', 'istg', 'sumpah', 'nak', 'nangisss', 'aku', 'rindu', 'diaa']",Anies,5.0,2.0,7.0
1737449579279462580,berhasil mancing anis bikin fekcet,in,,"['hasil', 'mancing', 'anis', 'bikin', 'fekcet']",Anies,5.0,0.0,5.0
1737446688120529146,babila ada housemate yg takde common sense ni time waktu orang nak gi kerja la kau sibuk nk mandi dahtu time tu jgk kau nak mandi lama nk cuci segala celah cipap kau tu aishh aku geram sungguh,in,,"['babila', 'housemate', 'yg', 'takde', 'common', 'sense', 'ni', 'time', 'waktu', 'orang', 'nak', 'gi', 'kerja', 'la', 'kau', 'sibuk', 'nk', 'mandi', 'dahtu', 'time', 'tu', 'jgk', 'kau', 'nak', 'mandi', 'lama', 'nk', 'cuci', 'segala', 'celah', 'cipap', 'kau', 'tu', 'aishh', 'aku', 'geram', 'sungguh']",Anies,1.0,-4.0,-3.0
1737445963902615826,Buka twt gaada taehyun tutup lagi melamun memikirkan masa depan halusinasi tidur buka twt lagi gaada taehyun tutup mikirin dia jadi zombie... Ini lama lama gue yang jadi zombie,in,mars,"['buka', 'twt', 'gaada', 'taehyun', 'tutup', 'lamun', 'pikir', 'masa', 'depan', 'halusinasi', 'tidur', 'buka', 'twt', 'gaada', 'taehyun', 'tutup', 'mikirin', 'jadi', 'zombie', 'lama', 'lama', 'gue', 'jadi', 'zombie']",Anies,-9.0,-1.0,-10.0
1737402316251357527,Ok some of bloggers sangat membantu. Aku dah malas nak blog. Dan cerita paling dapat byk soalan masa cabut gigi geraham secara pembedahan. Pergh...jagalah gigi kamu sebab gigi ni mahal kosnya..,in,Malaysia,"['some', 'of', 'bloggers', 'sangat', 'bantu', 'aku', 'dah', 'malas', 'nak', 'blog', 'cerita', 'paling', 'byk', 'soal', 'masa', 'cabut', 'gigi', 'geraham', 'cara', 'bedah', 'perghjagalah', 'gigi', 'kamu', 'gigi', 'ni', 'mahal', 'kosnya']",Anies,-2.0,-3.0,-5.0
