Text,Actual,Predicted
kalo masalah debat bicara si anis mah jagonya anjoyyy,negative,negative
Anies Ungkap 1 6 Juta Guru Belum Tersertifikasi https://t.co/zfZSEufh9E,positive,positive
Kaesang Puji Penyampaian Anies Kalau Ingin Lanjutkan Pilih Prabowo Kalau Ingin Perubahan Pilih Anies https://t.co/ZIOn8W1lc7,neutral,neutral
Cak imin ini kaya gua kalo ketawa nepok temen disebelahnya,neutral,negative
Kami sibuk menganalisa dan menjaring suara.. Kubu sebelah sibuk caci maki dan menghujat... Memang beda kelas mental kenegarawanannya 🇮🇩 https://t.co/9Y5n9oLNTa,negative,negative
Suara Lantang Prabowo Subianto di Jatim: Saya Merasakan Didukung Gus Dur dari Langit https://t.co/EprLeaWTSu,positive,positive
Haru dan Bangga... Penyandang tunanetra Balikpapan raba dan puji Ganjar sebagai pemimpin yang jujur. . . Tuanku Rakyatku Allah SWT Fedi Nuril Ahok Rasulullah SAW PSSI Pagii NCT DREAM IS COMING HWAN STEP AHEAD Libur JISOO AVEC CARTIER #RakyatM3milihGanjrr https://t.co/UheZfYjbiz,positive,positive
@Gank_Of_Petojo Sudah betul setingannya prabowo jadi bapak bangsa karena ngusung jokowi dan anies.. eeh ambyar gara2 pilpres ini.. sekarang jadi bapak nyinyir dan emosian.. huff... mana cucuku..atok capek....,positive,positive
Tenang pk @prabowo kalau @PDemokrat serta ketum @AgusYudhoyono dan ketua MTP pk @SBYudhoyono Sudah instruksi utk menangkan BPK..insya allah 1 PUTARAN.. https://t.co/YN5FxylshG,positive,positive
Teman-teman pendukung Jokowi yang dulu aktivis 98 dan anti Orde Baru yang kini mendukung Prabowo.. Mungkin beginilah pembenaran yang paling cocok. Kita jangan hidup terus di masa lalu mari lihat ke depan. Mbak Titiek itu bukan anak Soeharto.. https://t.co/89L1ld4w6E,positive,positive
Biasanya debat capres di dampingi cawapresnya Semalam cuma capres aja yg maju Ini menguntungkan Wowo Coba kalau maju berdua lalu Anis nanya Mau ambil rapor anaknya pak? Pasti repot jawabnya Mas Aniiiis... Mas Aniiiis... uhmnn... ,positive,positive
gue ga pedulilah mau pendukung anies dikit yg penting pendukung prabowo berkurang. yg penting itu jangan sampe diktator kolot konyol dan tolol berkuasa.,positive,positive
@Ganjar_Mahfud_3 @prabowo @gibran_tweet @aniesbaswedan @cakimiNOW @ganjarpranowo @mohmahfudmd Mana prestasi capres cawapres lain,negative,negative
Percuma Jokowi mendukung Prabowo mulut dan tingkahnya tak bisa diubah apalagi dikontrol Saya benar2 tak yakin bagaimana jalannya bangsa ini kedepannya jika Prabowo jadi Presiden Hari2 Istana akan sibuk KLARIFIKASI dan media2 akan jadi ring adu BACOT presiden https://t.co/5V6P0fWndi,positive,positive
Sekali lagi Jadi Pendukung Anies itu Berat krn HARUS BERAKAL &amp; BERFIKIR SEHAT. Freelancer ini mengaku kecewa berat sm prabowo yg di anggapnya prabowo hnya mementingkan jabatan dan ambisius terlebih stlh memilih gibran sbg cawapres yg lolos dg melanggar Etika..! #AMINAjaDulu https://t.co/WufJxO3shV,positive,positive
Bawaslu DKI Jakarta mengungkap hasil pemeriksaan terhadap acara 'Deklarasi Nasional Desa Bersatu Untuk Indonesia Maju' yang dihadiri cawapres nomor urut 2 Gibran Rakabuming Raka Minggu (19/11). #pemilupedia #newsupdate #update #news #oneliner https://t.co/YTw8LVqpwp https://t.co/CZgCq6nrlf,positive,positive
Detik -Detik Pak Anies menghadiri kampanye terbatas di Jambi hari ini Kamis 14 desember 2023 dan di Sambut Antusias oleh Masyarakat jambi https://t.co/vlfuuat0uT,positive,positive
Prabowo Gibran tidak bisa dipercaya !! #Prabohong #Gibran #DinastiPolitik #PelanggarHAM https://t.co/flBSnPcDXj,positive,positive
Yang Dijanjikan Prabowo Semuanya Sudah Dilakukan Ganjar Oleh :Prihati Utami Coba cermati debat kemarin berapa kali Prabowo bilanh makan siang Gratis ? Aku yang denger sampe bosen mungkin temen-temen juga yang nonton debat kemarin juga bosen sangkin seringnya Prabowo bilanh https://t.co/buwY35XtjF,positive,positive
@RaniKancana Baru bangun ngopi dulu mba,positive,positive
Prabowo punya perusahaan susu Gibran punya usaha kuliner. Prabowo-Gibran punya program susu gratis dan makan siang gratis. https://t.co/jE5JZYgUW2,positive,positive
Kekecewaan rakyat semakin besar dengan janji manis Anis yang tak kunjung terpenuhi. #KingOfRetorika PemantikKonflik Demokrasi https://t.co/eWbEyfjBxu,positive,positive
@bengkeldodo @PartaiSocmed @seeksixsuck @kurawa @ekowboy2 @alextham878 @Kimberley_2024 @msaid_didu @marlina_idha @Mbahhardiman Selagi pak Prabowo nyapres saya tdk nyapres ternyata mbelgedes,positive,positive
pokoknya isthe besst The best banget deh Pak Anies dan cak Imin Mereka sosok pemimpin masa depan,positive,positive
DUKUNGAN PENUH UNTUK AYAH Mbak Atikoh &amp; Alam Ganjar #Ganjar #GanjarMahfud https://t.co/AL3IaTidlf,positive,positive
Si pengkor jompo ini hadir di WALHI bakal disikat habis dan sadar diri aja dia banyak kesalahan soal lingkungan. Tapi ya emang jiwa pengecut kaya gitu sih. https://t.co/OFI16TIDHd,negative,negative
@kumparan Astaghfirullah kampanyenya kok begitu ? Emang Anies &amp; Muhaimin bakal sehat terus gak bakal tiba2 stroke ? Gak pernah emosi ? Takabur Jumawa. Astaghfirullah.,positive,positive
Ngomongin inklusi Ketua Ganjar sewaktu jadi Gubernur Jateng udah buat website yang ramah disabilitas Kalo tulisannya diklik/blok akan keluar suara yg membacakan. Bisa diatur juga tulisannya untuk buta warna dan tuna netra lainnya Coba cek sendiri https://t.co/LbPUvB8R7h https://t.co/GnPszYCG1Y,positive,positive
